logged_in,count,serror_rate,srv_serror_rate,rerror_rate,srv_rerror_rate,same_srv_rate,diff_srv_rate,dst_host_count,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_serror_rate,dst_host_srv_serror_rate,dst_host_rerror_rate,dst_host_srv_rerror_rate,class
1,6,0,0,0,0,1,0,96,255,1,0,0,0,0,0,normal
0,3,0,0,0,0,1,0,255,253,0.99,0.01,0,0,0,0,normal
0,1,1,1,0,0,1,0,30,1,0.03,1,1,1,0,0,anomaly
0,119,0,0,1,1,0.06,0.07,255,7,0.03,0.06,0,0,1,1,anomaly
0,497,0,1,0.99,0,0,1,255,1,0,1,0.01,1,0.99,0,anomaly
0,1,0,0,0,0,1,0,155,71,0.46,0.03,0,0,0,0,anomaly
0,217,0,0,1,1,0.03,0.07,255,6,0.02,0.07,0,0,1,1,anomaly
0,106,0,0,1,1,0.14,0.08,255,15,0.06,0.06,0,0,1,1,anomaly
1,1,0,0,0,0,1,0,62,42,0.66,0.05,0,0,0,0,normal
0,239,0,0,1,1,0.05,0.07,255,12,0.05,0.07,0,0,1,1,anomaly
1,1,0,0,0,0,1,0,248,32,0.13,0.03,0,0,0,0,anomaly
1,2,0,0,0,0,1,0,26,229,1,0,0,0,0,0,normal
0,117,0,0,1,1,0.09,0.06,255,10,0.04,0.05,0,0,1,1,anomaly
1,25,0,0,0,0,1,0,25,255,1,0,0,0,0,0,normal
1,1,0,0,0,0,1,0,151,151,1,0,0,0,0,0,normal
0,228,0,0,1,1,0.07,0.07,255,15,0.06,0.08,0,0,1,1,anomaly
0,1,0,0,0,0,1,0,255,69,0.27,0.03,0,0.01,0.11,0.19,anomaly
0,1,0,0,0,0,1,0,255,60,0.24,0.04,0,0.02,0.11,0.22,anomaly
1,3,0,0,0,0,1,0,255,255,1,0,0,0,0,0,normal
0,259,1,1,0,0,0.08,0.07,255,20,0.08,0.07,1,1,0,0,anomaly
1,16,0,0,0,0,1,0,255,255,1,0,0,0,0,0,normal
0,173,0,0,0,0,1,0,255,254,1,0.01,0,0,0,0,anomaly
0,282,0,0,1,1,0.06,0.06,255,17,0.07,0.07,0,0,1,1,anomaly
0,5,0,0,0,0,1,0,255,254,1,0.01,0,0,0,0,anomaly
1,6,0,0,0,0,1,0,30,255,1,0,0,0,0,0,normal
0,511,0,0,0,0,1,0,255,192,0.75,0.02,0,0,0.23,0,anomaly
0,1,1,1,0,0,1,0,80,1,0.01,1,1,1,0,0,anomaly
0,132,0,0,1,1,0.09,0.05,255,12,0.05,0.06,0,0,1,1,anomaly
0,1,0,0,0,0,1,0,74,10,0.04,0.31,0.01,0,0,0,normal
0,208,0,0,0,0,1,0.01,255,254,1,0.01,0,0,0,0,normal
0,2,0,0,0,0,1,0,255,255,1,0,0,0,0.02,0.02,anomaly
0,226,0.03,0,0.97,1,0.01,0.07,255,2,0.01,0.08,0.02,0,0.98,1,anomaly
1,3,0,0,0,0,1,0,171,255,1,0,0,0,0,0,normal
0,7,0,0,0,0,1,0,220,220,1,0,0,0,0,0,normal
0,13,0,0,0,0,1,0,255,255,1,0,0,0,0,0,normal
1,1,0,0,0,0,1,0,1,255,1,0,0,0,0,0,normal
0,1,1,1,0,0,1,0,255,117,0.46,0.02,0.53,0.37,0.01,0.01,anomaly
1,11,0,0,0,0,1,0,105,255,1,0,0,0,0,0,normal
0,1,0,0,0,0,1,0,255,169,0.66,0.31,0.5,0.75,0.31,0.01,anomaly
1,1,0,0,0,0,1,0,131,255,1,0,0,0,0,0,normal
0,218,0,0,1,1,0.09,0.06,255,19,0.07,0.07,0,0,1,1,anomaly
0,1,0,0,0,0,1,0,255,254,1,0.01,0,0,0,0,anomaly
0,3,0,0,0.67,1,0.33,0.67,186,59,0.24,0.03,0,0,0.9,0.98,anomaly
1,15,0,0,0,0,1,0,255,255,1,0,0,0,0,0,normal
1,4,0,0,0,0,1,0,11,254,1,0,0,0,0,0,normal
0,4,0,0,0,0,1,0,255,252,0.99,0.01,0,0,0,0,normal
0,131,0,0,1,1,0.04,0.06,255,5,0.02,0.05,0,0,1,1,anomaly
0,269,0,0,1,1,0.03,0.07,255,7,0.03,0.07,0,0,1,1,anomaly
1,11,0,0,1,1,1,0,255,237,0.93,0.01,0,0,0.17,0.18,anomaly
0,1,0,0,0,0,1,0,2,98,1,0,0,0,0,0,anomaly
0,1,1,0.11,0,0.44,1,0,160,85,0.34,0.02,1,1,0,0,anomaly
0,109,0,0,1,1,0.05,0.06,255,5,0.02,0.06,0,0,1,1,anomaly
1,4,0,0,0,0,1,0,206,255,1,0,0,0,0,0,normal
0,1,0,0,0,0,1,0,255,191,0.75,0.24,0.5,0.66,0.24,0.01,anomaly
0,1,0,0,1,1,1,0,255,254,1,0.01,0.01,0.01,0.02,0.02,anomaly
0,200,1,1,0,0,0.04,0.06,255,8,0.03,0.07,1,1,0,0,anomaly
0,1,0,0,0,0,1,0,90,23,0.01,1,0.99,0,0,0,anomaly
1,3,0,0,0,0,1,0,255,203,0.8,0.13,0,0,0.19,0,anomaly
1,19,0,0,0,0,1,0,166,255,1,0,0,0,0,0,normal
0,267,0,0,1,1,0.04,0.06,255,11,0.04,0.07,0,0,1,1,anomaly
0,1,0,0,0,0,1,0,255,19,0.07,0.82,0,0,0.8,0,anomaly
0,286,0,0,1,1,0.06,0.06,255,18,0.07,0.06,0,0,1,1,anomaly
0,179,1,1,0,0,0.11,0.08,255,19,0.07,0.08,1,1,0,0,anomaly
0,203,1,1,0,0,0.07,0.06,255,14,0.05,0.07,1,1,0,0,anomaly
0,273,0,0,1,1,0.01,0.06,255,3,0.01,0.06,0,0,1,1,anomaly
0,239,1,1,0,0,0.08,0.07,255,20,0.08,0.08,1,1,0,0,anomaly
0,461,0.08,0,0.92,1,0,1,255,1,0,1,0.04,0,0.96,1,anomaly
0,198,0,0,1,1,0.01,0.07,255,1,0,0.07,0,0,1,1,anomaly
1,1,0,0,0,0,1,0,255,43,0.17,0.03,0.27,0,0.02,0,anomaly
0,110,1,1,0,0,0.08,0.07,255,9,0.04,0.06,1,1,0,0,anomaly
0,216,1,1,0,0,0.03,0.06,255,7,0.03,0.07,1,1,0,0,anomaly
1,1,0,0,0,0,1,0,255,4,0.02,0.21,0,0,0.2,0,anomaly
1,8,0,0,0,0,1,0,72,255,1,0,0,0,0,0,normal
0,158,1,1,0,0,0.03,0.11,255,5,0.02,0.1,1,1,0,0,anomaly
0,1,0,0,0,0,1,0,255,187,0.73,0.02,0.39,0.39,0.01,0.01,anomaly
1,2,0,0,0,0,1,0,67,255,1,0,0.01,0,0,0,normal
0,242,0,0,1,1,0.01,0.07,255,2,0.01,0.06,0,0,1,1,anomaly
0,272,0,0,1,1,0.05,0.06,255,14,0.05,0.06,0,0,1,1,anomaly
1,12,0,0,1,1,1,0,255,237,0.93,0.01,0,0,0.17,0.19,anomaly
1,10,0,0,0,0,1,0,255,255,1,0,0,0,0,0,normal
0,510,0.01,0,0.96,1,0,1,255,1,0,1,0.02,0,0.97,1,anomaly
0,444,0.05,0,0.95,1,0,1,255,1,0,1,0.04,0,0.96,1,anomaly
0,1,0,0,0,0,1,0,255,120,0.47,0.02,0,0,0.01,0.03,anomaly
1,1,0,0,0,0,1,0,149,102,0.56,0.03,0,0,0,0,normal
0,321,0,0,0,0,1,0,255,255,1,0,0,0,0,0,anomaly
0,120,0,0,0,0,1,0,255,255,1,0,0,0,0,0,normal
1,1,0,0,0,0,1,0,1,255,1,0,0,0,0,0,normal
1,20,0,0,0,0,1,0,255,255,1,0,0,0,0,0,normal
0,139,0,0,0,0,1,0,255,254,1,0.01,0,0,0,0,normal
1,1,0,0,0,0,1,0,255,246,0.96,0.02,0,0,0.01,0,anomaly
0,148,0,0,1,1,0.01,0.06,255,1,0,0.06,0,0,1,1,anomaly
0,233,0,0,1,1,0.07,0.06,255,17,0.07,0.07,0,0,1,1,anomaly
0,205,0,0,0,0,1,0.01,255,254,1,0.01,0,0,0,0,normal
0,139,0,0,1,1,0.12,0.06,255,17,0.07,0.06,0,0,1,1,anomaly
1,11,0,0,0,0,1,0,255,255,1,0,0,0,0,0,normal
0,1,0,0,0,0,1,0,255,190,0.75,0.02,0.38,0.38,0.01,0.01,anomaly
0,200,0,0,1,1,0.06,0.06,255,13,0.05,0.07,0,0,1,1,anomaly
1,1,0,0,0,0,1,0,100,178,0.77,0.04,0,0,0,0,normal
1,6,0,0,0,0,1,0,64,255,1,0,0,0,0,0,normal
0,2,0,0,0,0,1,0,255,240,0.94,0.01,0,0,0.04,0,normal
1,1,0,0,0,0,1,0,255,89,0.35,0.02,0,0,0.01,0,normal
0,1,0,0,0,0,1,0,218,107,0.49,0.03,0,0,0,0,anomaly
0,209,0,0,1,1,0.02,0.07,255,4,0.02,0.08,0,0,1,1,anomaly
0,1,0,0,0,0,1,0,192,191,0.99,0.01,0,0,0,0,anomaly
0,1,0,0,1,0.57,1,0,96,87,0.34,0.05,0,0,0.9,0.7,anomaly
1,7,0,0,0,0,1,0,9,231,1,0,0,0,0,0,normal
0,110,1,1,0,0,1,0,255,255,1,0,0.65,0.65,0.32,0.32,anomaly
1,18,0,0,0,0,1,0,255,255,1,0,0,0,0,0,normal
1,2,0,0,0,0,1,0,255,250,0.98,0.01,0,0,0,0,normal
0,445,0.09,0,0.91,1,0,1,255,1,0,1,0.03,0,0.97,1,anomaly
0,217,0,0,1,1,0.04,0.07,255,9,0.04,0.07,0,0,1,1,anomaly
0,1,1,1,0,0,1,0,255,141,0.55,0.41,0.44,0.8,0.4,0.01,anomaly
1,4,0,0,0,0,1,0,255,255,1,0,0,0,0,0,normal
1,13,0,0,0,0,1,0,254,255,1,0,0,0,0,0,normal
1,8,0,0,1,1,1,0,255,244,0.96,0.01,0.02,0.02,0.47,0.49,anomaly
0,1,0,0,0,0,1,0,7,7,1,0,0,0,0,0,anomaly
1,11,0,0,0,0,1,0,32,255,1,0,0,0,0,0,normal
1,3,0,0,0,0,1,0,47,172,1,0,0,0,0,0,normal
0,1,0,0,0,0,1,0,52,51,0.98,0.04,0,0,0,0,normal
0,70,0,0,0,0,1,0,255,255,1,0,0,0,0,0,anomaly
1,26,0,0,0,0,1,0,255,255,1,0,0,0,0,0,normal
0,1,0,0,0,0,1,0,255,11,0.04,0.03,0,0,0.02,0,normal
1,7,0,0,0,0,1,0,7,255,1,0,0,0,0,0,normal
0,2,0,0,0,0,1,0,255,255,1,0,0,0,0,0,anomaly
1,13,0,0,0,0,1,0,30,255,1,0,0,0,0,0,normal
1,11,0,0,0,0,1,0,218,255,1,0,0,0,0,0,normal
0,325,0,0,0,0,1,0,255,255,1,0,0,0,0,0,normal
0,195,0,0,1,1,0.02,0.07,255,3,0.01,0.07,0,0,1,1,anomaly
1,10,0,0,0,0,1,0,71,255,1,0,0,0,0,0,normal
1,4,0,0,0,0,1,0,255,254,1,0.01,0,0,0.07,0.07,anomaly
1,34,0,0,0,0,1,0,255,255,1,0,0.01,0.01,0,0,normal
0,148,1,1,0,0,0.07,0.05,58,11,0.19,0.09,1,1,0,0,anomaly
0,178,0,0,0,0,0.99,0.01,255,254,1,0.01,0,0,0,0,normal
1,38,0,0,0,0,1,0,255,255,1,0,0,0,0,0,normal
0,511,0,0,0,0,1,0,255,255,1,0,0,0,0,0,normal
0,1,0,0,1,1,1,0,255,11,0.04,0.03,0,0,0.22,1,anomaly
0,1,0,0,0,0,1,0,8,7,0.88,0.25,0,0,0,0,anomaly
1,6,0,0,0,0,1,0,255,255,1,0,0,0,0,0,normal
0,202,0,0,1,1,0.05,0.06,255,10,0.04,0.06,0,0,1,1,anomaly
0,1,0,0,0,0,1,0,1,39,1,0,0,0,0,0,anomaly
0,35,0.26,0.26,0.74,0.74,1,0,255,255,1,0,0.05,0.05,0.68,0.68,anomaly
0,505,0,0,0,0,1,0,255,255,1,0,0,0,0,0,normal
1,42,0.02,0.02,0.95,0.95,1,0,255,255,1,0,0,0,0.16,0.16,anomaly
0,1,0,0.5,0,0,1,0,255,128,0.5,0.01,0,0,0.65,0.31,anomaly
1,1,0,0,0,0,1,0,96,65,0.68,0.04,0,0,0,0,normal
0,80,0,0,0,0,1,0,255,254,1,0.01,0,0,0,0,normal
0,29,0.79,0.79,0.17,0.17,1,0,255,255,1,0,0.14,0.14,0.7,0.7,anomaly
0,124,0,0,1,1,0.1,0.07,255,12,0.05,0.06,0,0,1,1,anomaly
0,117,1,1,0,0,0.09,0.07,255,11,0.04,0.06,1,1,0,0,anomaly
1,1,0,0,0,0,1,0,255,210,0.82,0.07,0.01,0,0.13,0,normal
1,1,0,0,0,0,1,0,255,16,0.06,0.79,0,0,0.77,0,anomaly
0,224,1,1,0,0,0.01,0.07,255,2,0.01,0.07,1,1,0,0,anomaly
0,234,1,1,0,0,0.01,0.07,255,2,0.01,0.07,1,1,0,0,anomaly
1,9,0,0,0,0,1,0,33,255,1,0,0,0,0,0,normal
1,1,0,0,0,0,1,0,193,218,0.82,0.03,0,0,0,0,normal
1,1,0,0,0,0,1,0,255,142,0.56,0.02,0,0,0,0,normal
1,1,0,0,0,0,1,0,146,129,0.88,0.02,0,0,0.07,0,anomaly
1,1,0,0,0,0,1,0,1,255,1,0,0,0,0,0,normal
0,189,1,1,0,0,0.09,0.08,255,17,0.07,0.08,1,1,0,0,anomaly
0,509,0.14,0,0.86,1,0,1,255,1,0,0.98,0.12,0,0.88,1,anomaly
0,1,1,0.33,0,0.33,1,0,7,3,0.43,0.43,1,1,0,0,anomaly
1,9,0,0,0,0,1,0,222,255,1,0,0,0,0,0,normal
1,1,0,0,0,0,1,0,255,14,0.05,0.69,0,0,0.68,0,anomaly
1,2,0,0,0,0,1,0,255,255,1,0,0,0,0,0,normal
1,20,0,0,0,0,1,0,255,255,1,0,0,0,0,0,normal
0,1,0,0,0,0,1,0,22,5,0.23,0.09,0,0,0,0,anomaly
1,10,0,0,0,0,1,0,18,179,1,0,0,0,0,0,normal
0,252,0,0,1,1,0.08,0.06,138,19,0.14,0.09,0,0,1,1,anomaly
0,266,0,0,1,1,0.06,0.06,255,17,0.07,0.07,0,0,1,1,anomaly
0,294,1,1,0,0,0.05,0.06,255,16,0.06,0.06,1,1,0,0,anomaly
0,1,0,0,0,0,1,0,179,85,0.47,0.03,0,0,0,0,anomaly
0,5,0,0,0,0,0.8,0.4,255,212,0.83,0.01,0,0,0,0,normal
1,2,0,0,0,0,1,0,193,255,1,0,0,0,0,0,normal
0,1,0,0,0,0,1,0,1,50,1,0,0,0,0,0,anomaly
0,211,0,0,1,1,0.07,0.08,255,15,0.06,0.08,0,0,1,1,anomaly
1,4,0,0,0,0,1,0,255,255,1,0,0,0,0,0,normal
0,216,1,1,0,0,0.08,0.06,255,17,0.07,0.06,1,1,0,0,anomaly
0,1,0,0,1,1,1,0,133,1,0.01,0.65,0,0,0.65,1,anomaly
0,145,0,0,1,1,0.12,0.06,244,17,0.07,0.05,0,0,1,1,anomaly
0,508,0,0,0,0,1,0,255,255,1,0,0,0,0,0,normal
0,1,0,0.12,1,0.83,1,0,238,14,0.02,0.03,0,0,0.02,0.43,anomaly
1,4,0,0,0,0,1,0,51,255,1,0,0,0,0,0,normal
0,140,0,0,1,1,0.12,0.06,255,17,0.07,0.05,0,0,1,1,anomaly
0,212,0,0,1,1,0.09,0.07,255,19,0.07,0.06,0,0,1,1,anomaly
0,20,0,0,0,0,1,0,255,255,1,0,0,0,0,0,normal
0,1,0,0,0,0,1,0,22,9,0.14,0.09,0,0,0,0,anomaly
0,1,0,0,0,0,1,0,8,15,0.88,0.25,0,0,0,0,anomaly
0,1,1,1,0,0,1,0,148,86,0.34,0.02,1,1,0,0,anomaly
0,290,1,1,0,0,0.06,0.06,255,16,0.06,0.07,1,1,0,0,anomaly
1,41,0,0,0,0,1,0,255,255,1,0,0,0,0,0,normal
1,1,0,0,0,0,1,0,255,16,0.06,0.76,0,0.06,0.73,0,anomaly
0,221,0,0,1,1,0.01,0.08,255,2,0.01,0.08,0,0,1,1,anomaly
1,18,0,0,0,0,1,0,18,98,1,0,0,0,0,0,normal
0,1,1,1,0,0,1,0,255,60,0.24,0.68,0.14,0.58,0.67,0,anomaly
1,13,0,0,0,0,1,0,255,255,1,0,0,0,0,0,normal
0,2,0,0,0.5,1,0.5,1,255,1,0,0.02,0,0,0,1,anomaly
1,1,0,0,1,1,1,0,181,59,0.24,0.03,0,0,0.88,1,anomaly
1,3,0,0,0,0,1,0,18,255,1,0,0,0,0,0,normal
1,10,0,0,0,0,1,0,106,231,1,0,0,0,0,0,normal
0,511,0,0,0,0,1,0,255,255,1,0,0,0,0,0,normal
0,3,0,0,1,1,0.33,1,255,17,0.07,0.03,0.01,0,0.34,1,anomaly
1,3,0,0,0,0,1,0,118,255,1,0,0,0,0,0,normal
0,290,0,0,1,1,0.06,0.06,255,16,0.06,0.06,0,0,1,1,anomaly
1,1,0,0,0,0,1,0,1,255,1,0,0,0,0,0,normal
0,213,0,0,1,1,0.04,0.06,255,8,0.03,0.06,0,0,1,1,anomaly
1,4,0.25,0.25,0,0,1,0,255,254,1,0.01,0,0,0.01,0.01,anomaly
0,1,0,0,0,0,1,0,100,99,0.99,0.02,0,0,0,0,normal
1,1,0,0,0,0,1,0,5,8,1,0,0,0,0,0,anomaly
0,279,0,0,0,0,1,0,255,255,1,0,0,0,0,0,normal
1,17,0,0,0,0,1,0,233,255,1,0,0,0,0,0,normal
0,508,0.07,0,0.93,1,0,1,255,1,0,1,0.06,0,0.94,1,anomaly
1,1,0,0,0,0,1,0,255,30,0.12,0.03,0.4,0,0.02,0,anomaly
0,242,0,0,1,1,0.07,0.07,255,16,0.06,0.08,0,0,1,1,anomaly
0,160,1,1,0,0,0.09,0.09,255,14,0.05,0.09,1,1,0,0,anomaly
0,511,0.13,0,0.87,1,0,1,255,1,0,0.94,0.12,0,0.88,1,anomaly
1,11,0,0,0,0,1,0,50,255,1,0,0,0,0,0,normal
0,509,0,0,0,0,1,0,255,255,1,0,0,0,0,0,normal
1,21,0,0,0,0,1,0,255,255,1,0,0,0,0,0,normal
0,2,0,0,0,0,1,0,36,5,0.14,0.08,0,0,0,0,normal
0,205,0,0,1,1,0.06,0.06,255,12,0.05,0.05,0,0,1,1,anomaly
1,1,0,0,0,0,1,0,255,171,0.67,0.02,0,0,0.11,0,anomaly
1,5,0,0,0,0,1,0,101,255,1,0,0,0,0,0,normal
0,131,0,0,1,1,0.15,0.05,255,20,0.08,0.06,0,0,1,1,anomaly
1,1,0,0,0,0,1,0,58,255,1,0,0,0,0,0,normal
1,1,0,0,0,0,1,0,6,255,1,0,0,0,0,0,normal
1,1,0,0,0,0,1,0,142,192,0.81,0.03,0,0,0.02,0.03,normal
1,16,0,0,0,0,1,0,152,255,1,0,0,0,0,0,normal
0,136,0,0,1,1,0.1,0.06,255,14,0.05,0.05,0,0,1,1,anomaly
1,18,0,0,0,0,1,0,255,255,1,0,0,0,0,0,normal
0,2,0,0,0,0,1,0,6,12,1,0,0,0,0,0,anomaly
0,201,0,0,0,0,1,0,255,255,1,0,0,0,0,0,anomaly
0,1,0,0,0,0,1,0,255,182,0.71,0.02,0,0,0.02,0.03,anomaly
0,2,0,0,1,0.88,0.5,1,226,59,0.23,0.02,0,0,0.89,0.97,anomaly
0,253,0,0,1,1,0.04,0.06,255,11,0.04,0.07,0,0,1,1,anomaly
0,264,0,0,1,1,0.08,0.06,255,20,0.08,0.06,0,0,1,1,anomaly
0,1,1,1,0,0,1,0,255,2,0.01,0.03,0.45,1,0.02,0,normal
0,197,0,0,1,1,0.03,0.06,255,5,0.02,0.06,0,0,1,1,anomaly
0,3,0,0,0,0,0.67,0.67,141,134,0.95,0.02,0,0,0,0,normal
